name,korean_name,gender,card,alignment,play_style,sub_styles,claimed_styles,birth_date,note,finisher_ko,signature,signature_ko
Asuka,아스카,female,upper,face,technician,submissions|all_rounder,,1981-09-26,,아스카 락 | 러닝 힙 어택 | 그린 미스트,Double Knee Facebreaker | Spinning Back Fist,더블 니 페이스브레이커 | 스피닝 백 피스트
Bayley,베일리,female,upper,face,technician,all_rounder,,1989-06-15,,로즈 플랜드 | 베일리-투-벨리 수플렉스,Bayleycanrana | Corner Back Elbows | Running Single-Handed Bulldog,베일리캔라나 | 코너 백 엘보우스 | 러닝 싱글-핸디드 불독
Becky Lynch,베키 린치,female,upper,face,technician,submissions,,1987-01-30,,디스-암-허 | 맨핸들 슬램,Bexploder Suplex | Bex-Plex | Springboard Leg Drop,벡스플로더 수플렉스 | 벡스-플렉스 | 스프링보드 레그 드롭
Brie Bella,브리 벨라,female,mid,heel,heel_style,,,1983-11-21,,벨라 버스터 | 랙 어택,"Brie Mode | ""Yes!"" Kicks","브리 모드 | ""예스!"" 킥스"
Ivy Nile,아이비 나일,female,low,heel,technician,brawler,,1992-02-26,,터틀 락 | 드래곤 슬리퍼,Torture Rack | Diving Bulldog,토처 랙 | 다이빙 불독
Iyo Sky,이요 스카이,female,mid,face,high_flyer,technician|all_rounder,,1990-05-08,,오버 더 문설트,Cross Face | Suicide Dive | German Suplex | Missile Drop Kick | Bullet Train | Kasadora | Satelite DDT,크로스 페이스 | 수어사이드 다이브 | 저먼 수플렉스 | 미사일 드롭킥 | 불릿 트레인 | 카사도라 | 새틀라이트 DDT
Liv Morgan,리브 모건,female,upper,heel,all_rounder,technician,,1994-06-08,,오블리비언,Missile Drop Kick | Three Amigos | Red Eye | Jumping DDT,미사일 드롭킥 | 쓰리 아미고스 | 레드 아이 | 점핑 DDT
Lyra Valkyria,라이라 발키리아,female,mid,heel,technician,,,1996-10-23,,나이트 윙,Northern Lights Suplex | Campana | Frog Splash,노턴 라이츠 수플렉스 | 캄파나 | 프로그 스플랙시
Maxxine Dupri,맥신 듀프리,female,mid,heel,showman,submissions,,1997-05-19,,앵클 락,Super Kick | Caterpillar,슈퍼킥 | 캐터필러
Nikki Bella,니키 벨라,female,mid,heel,heel_style,,,1983-11-21,,벨라 버스터 | 랙 어택,Alabama Slam | Spinebuster,앨라배마 슬램 | 스파인버스터
Raquel Rodriguez,라켈 로드리게스,female,mid,heel,powerhouse,giant,,1991-01-12,,테하나 밤,Corner Corkscrew Elbow Drop | Fallaway Slam | Tequila Shot,코너 코크스크류 엘보 드롭 | 폴어웨이 슬램 | 테킬라 샷
Roxanne Perez,록샌 페레즈,female,mid,heel,technician,high_flyer,,2001-11-05,,팝 락스,Russiam Leg Swip | Running Back Elbow | Lou Thesz Press | Suicide Dive | Triangle Moonsault | Cartwheel Knee Drop,러시안 레그 스윕 | 러닝 백 엘보우 | 루 테즈 프레스 | 수어사이드 다이브 | 트라잉앵글 문설트 | 카트휠 니 드롭
Sol Ruca,솔 루카,female,mid,face,high_flyer,,,1999-08-26,,솔 스내처,Corner Slingshot Somersault Leg Drop | Sitout Facebuster,코너 슬링샷 섬머솔트 레그 드롭 | 싯아웃 페이스 버스터
Stepahnie Vaquer,스테파니 바케르,female,upper,face,all_rounder,technician|lucha_libre,,1993-03-29,,SVB | 바케르 인페르노,Devil's Kiss | Dragon Screw | Running Knee,데빌스 키스 | 드래곤 스크류 | 러닝 니
Angel,엔젤,male,low,heel,lucha_libre,heel_style,,1992-09-23,,윙 클리퍼,El Muertito | Super Kick,엘 무에르티토 | 슈퍼킥
Axiom,액시옴,male,mid,face,technician,high_flyer,,1997-05-09,,골든 라티오 | 스패니시 플라이,Springboard Moonsault DDT | Pele Kick | Diving Crossbody,스프링보드 문섵트 DDT | 펠레 킥 | 다이빙 크로스바디
Baron Corbin,배런 코빈,male,mid,heel,brawler,heel_style,,1984-09-13,,엔드 오브 데이즈,Deep Six | Dream Crusher | Back Breaker | Big Boot | Bossman Slam | Chokeslam | Brainbuster,딥 식스 | 드림 크러셔 | 백브레이커 | 빅 붓 | 보스맨 슬램 | 초크슬램 | 브레인버스터
Berto,베르토,male,low,heel,lucha_libre,heel_style,,1995-10-20,,라운딩 문설트,Aztec Press,아즈텍 프레스
Carmelo Hayes,카멜로 헤이즈,male,mid,face,high_flyer,,,1994-08-01,,낫씽 벗 넷 | 페도라 프로그 스플래쉬 | 퍼스트 48,Tilt-a-Whirl Facebuster | Springboard Leg Drop | Springboard DDT | Super Kick,틸트-어-휠 페이스버스터 | 스프링보드 레그 드롭 | 스프링보드 DDT | 슈퍼킥
CM Punk,CM 펑크,male,upper,face,all_rounder,showman,,1978-10-26,,고 투 슬립(GTS) | 아나콘다 바이스,Roundhouse Kick | Machoman Elbo Drop | Running Knee Strike | Calf Kick | Diving Clothesline | Sharpshooter,라운드하우스 킥 | 마초맨 엘보 드랍 | 러닝 니 스트라이크 | 카프 킥 | 다이빙 클로스라인 | 샤프슈터
Cody Rhodes,코디 로즈,male,upper,face,old_school,all_rounder,,1985-06-30,,크로스 로즈,Cody Cutter | Disaster Kick | Alabama Slam | Bionic Elbow | Figure Four Leglock | Snap Powerslam,코디 커터 | 디재스터 킥 | 앨라배마 슬램 | 바이오닉 엘보 | 피겨 포 레그락 | 스냅 파워슬램
Damian Priest,데미안 프리스트,male,mid,face,all_rounder,,,1982-09-26,,사우스 오브 헤븐 | 레이저스 엣지,Broken Arrow | Recoil Lariat,브로큰 애로우 | 리코일 래리어트
Drew McIntyre,드류 맥킨타이어,male,upper,heel,all_rounder,powerhouse,,1985-06-06,,클레이모어,Glasgow Kiss | Overhead Belly to Belly Suplex | Future Shock,글래스고 키스 | 오버헤드 벨리 투 벨리 수플렉스 | 퓨처 쇼크
Elton Prince,엘튼 프린스,male,mid,tweener,showman,heel_style,,1997-05-21,,스필트 밀크,Enzuigiri,엔즈이기리
Finn Bálor,핀 밸러,male,mid,face,shooter,high_flyer|technician|monster,,1981-07-25,,쿠 데 그라,Sling Blade | Shotgun Drop Kick | Tope Con Giro | Reverse Bloody Sunday,슬링 블레이드 | 샷건 드롭 킥 | 토페 콘 히로 | 리버스 블러디 선데이
Gunther,군터,male,upper,heel,old_school,hard_hitting,,1987-08-20,,파워밤 핀 | 다이빙 바디 프레스 | 래리어트 | 슬리퍼 홀드 | 라스트 심포니,Chop | Neck Twist | Forearm Club | German Suplex | Big Boot | Boston Crab | Running Front Drop Kick | Sleeper Suplex | Running Knee Drop,찹 | 넥 트위스트 | 포암 클럽 | 저먼 수플렉스 | 빅 붓 | 보스턴 크랩 | 러닝 프론트 드롭킥 | 슬리퍼 수플렉스 | 러닝 니 드롭
Hiromu Takahashi,히로무 타카하시,male,mid,face,stuntman,lucha_libre,,1989-12-04,,타임 밤 | 캐나디언 디스트로이어,John Woo | Snap Overhead Belly to Belly Suplex | Sunset Flip Powerbomb | Pop-Up Sitout Powerbomb | Diving Senton | 'D' | Dynamite Plunger | Victory Royal | Hiromu-chan Bomber,존 우 | 스냅 오버헤드 벨리 투 벨리 수플렉스 | 선셋 플립 파워밤 | 팝업 싯아웃 파워밤 | 다이빙 센턴 | 'D' | 다이너마이트 플런저 | 빅토리 로얄 | 히로무쨩 봄버
Ilja Dragunov,일리야 드라구노프,male,mid,face,hard_hitting,brawler|kings_road,,1993-10-10,,토피도 모스카우 | H-밤 | 슬리퍼 홀드,Chop | German Suplex | Jumping Big Boot | Constantine Special | Diving Senton | Ore ga Taue | Jackknife Powerbomb,찹 | 저먼 수플렉스 | 점핑 빅 붓 | 콘스탄틴 스페셜 | 다이빙 센턴 | 오레가타우에 | 잭나이프 파워밤
Johnny Gargano,쟈니 가르가노,male,low,heel,underdog,technician,,1987-08-14,,가르가-노-이스케이프 | 원 파이널 비트,Lawn Dart | Super Kick | Roll Up Rolling Kick,론 다트 | 슈퍼킥 | 롤업 롤링 킥
Kevin Owens,케빈 오웬스,male,upper,face,technician,brawler|all_rounder|hard_hitting,,1984-05-07,,팝업 파워밤 | 스터너 | 패키지 파일드라이버 | 샤프슈터,Cannon Ball | Senton Bomb | Go Home Driver | Bull Frog Splash | Super Kick | Lariat | Cross Face,캐논볼 | 센톤 밤 | 고 홈 드라이버 | 불프로그 스플래시 | 슈퍼킥 | 래리어트 | 크로스페이스
Kit Wilson,킷 윌슨,male,mid,heel,showman,heel_style,,1994-08-04,,멘 크라이 투 | 스필트 밀크,Argentine Powerbomb | Neck Breaker,아르젠틴 파워밤 | 넥브레이커
Matt Cardona,맷 카도나,male,low,face,showman,all_rounder,,1985-05-14,,라디오 사일런스,Elbro Drop | Zack Attack | Broski Boot,엘브로 드롭 | 잭 어택 | 브로스키 붓
The Miz,미즈,male,mid,heel,showman,heel_style,,1980-10-08,,스컬 크러싱 피날레 | 피겨 포 레그락,It Kicks | Mizline | Snap DDT,잇 킥스 | 미즈라인 | 스냅 DDT
Nathan Frazer,네이선 프레이저,male,mid,face,technician,high_flyer,,1998-07-23,,피닉스 스플래시,Springboard Reverse DDT | Falcon Arrow | Suicide Dive | Sling Blade | Frog Splash | Superplex | Avalanche Hurricanrana | Super Kick,스프링보드 리버스 DDT | 팔콘 애로우 | 수어사이드 다이브 | 슬링 블레이드 | 프로그 스플래시 | 슈퍼플렉스 | 아발란체 허리케인라나 | 슈퍼킥
R-Truth,R-트루스,male,mid,face,showman,,,1972-01-10,,AA | STF,Little Jimmy | Lie Detector | Axe Kick,리틀 지미 | 라이 디텍터 | 액스 킥
Randy Orton,랜디 오턴,male,upper,heel,old_school,heel_style,,1980-04-01,,RKO | 펀트 킥,Scoop Powerslam | Back Suplex | Rope-Hung DDT | Inverted Headrock Back Breaker | European Uppercut | Drop Kick | Chin Lock | Garvin Stomp | Eye Poke,스쿱 파워슬램 | 백 수플렉스 | 로프 헝 DDT | 인버티드 헤드록 백 브레이커 | 유로피안 어퍼컷 | 드롭킥 | 친 락 | 가빈 스톰프 | 아이 포크
Rey Fénix,레이 페닉스,male,mid,face,lucha_libre,high_flyer,,1990-12-30,,멕시칸 머슬 버스터 | 페닉스 드라이버,Goodbye Amigo Kick | 450 Splash | Enzuigiri | Super Kick | Spanish Fly | Springboard Ace Crusher | Tope Con Giro | Tiger Feint Kick,굿바이 아미고 킥 | 450 스플래시 | 엔즈이기리 | 슈퍼킥 | 스패니시 플라이 | 스프링보드 에이스 크러셔 | 토페 콘 히로 | 타이거 페인트 킥
Ricky Saints,리키 세인츠,male,mid,heel,brawler,showman,,1990-02-21,,로샴보 | 레볼루션 DDT | 스피어,Famous Amos | Fisherman's Suplex,페이머스 에이모스 | 피셔맨 수플렉스
Royce Keys,로이스 키스,male,low,face,powerhouse,,,1985-01-23,,얼티밋 스파인버스터,Falling Powerslam | Oklahoma Stampede | Torture Rack,폴링 파워슬램 | 오클라호마 스탬피드 | 토쳐 랙
Sami Zayn,새미 제인,male,upper,tweener,all_rounder,showman,,1984-07-12,,헬루바 킥 | 블루 썬더 밤 | 브레인버스타아아!!,ConPehiro DDT | Turnbuckle Exploder,콘페히로 DDT | 턴버클 익스플로이더
Shinsuke Nakamura,나카무라 신스케,male,mid,face,strong_style,showman,,1980-02-24,,킨샤사 | 트라이앵글 초크,Good Bibration | Axe Kick | Reverse Exploder | Green Mist,굿 바이브레이션 | 액스 킥 | 리버스 익스플로이더
Solo Sikoa,솔로 시코아,male,mid,face,all_rounder,showman,,1993-03-18,,사모안 스파이크 | 스피닝 솔로,Samoan Drop | Running Hip Attack,사모안 드롭 | 러닝 힙 어택
Talla Tonga,탈라 통가,male,mid,heel,giant,,,1991-02-07,,갓 센드,Chop | Lariat | Big Boot | Pop-Up Knuckle | Avalanche Hold | T Bomb | Powertrip,찹 | 래리어트 | 빅 붓 | 팝업 너클 | 아발란체 홀드 | T 밤 | 파워트립
Tama Tonga,타마 통가,male,mid,heel,all_rounder,,,1982-10-15,,베레노 | 컷 스롯 | 점핑 플랫라이너,Drop Kick | Superfly Special | Stinger Splash | Senton Atomico,드롭 킥 | 슈퍼플라이 스페셜 | 스팅어 스플래시 | 센턴 아토미코
Trick Williams,트릭 윌리엄스,male,mid,face,shooter,all_rounder,,1994-05-26,,트릭 샷 | 트릭 킥,Pop-Up Uppercut | Slam Dunk | Capoeira Kick | Flapjack | Harlem Side Kick | Book End,팝업 어퍼컷 | 슬램 덩크 | 카포에이라 킥 | 플랩 잭 | 할렘 사이드 킥 | 북 엔드
Alexa Bliss,알렉사 블리스,female,mid,face,all_rounder,technician|heel_style,,1991-08-09,,트위스티드 블리스 | 시스터 아비게일 DREAM DDT,Blockbuster | Insert To Injury | STO | Glitter Blizzard | Blissful Stomp,블록버스터 | 인설트 투 인저리 | STO | 글리터 블리자드 | 블리스풀 스톰프
B-Fab,B-팹,female,mid,heel,brawler,,,1990-11-22,,테이스트 더 페인,Running Clothesline,러닝 클로스라인
Bianca Belair,비앙카 벨레어,female,upper,face,powerhouse,all_rounder|technician,,1989-04-09,,키스 오브 데스(KOD),Spear | Handspring Moonsault | Spinebuster | 450 Splash | Snap Suplex | Hair Whip,스피어 | 핸드스프링 문설트 | 스파인버스터 | 450 스플래시 | 스냅 수플렉스 | 헤어휩
Blake Monroe,블레이크 먼로,female,low,heel,all_rounder,,,1998-08-04,,글래머 샷,Glambition | Thirst Trap | Mariah-Go-Round,글램비션 | 떠스트 트랩 | 머라이어-고-라운드
Candice LeRae,캔디스 르래,female,low,heel,technician,,,1985-09-25,,위키드 스텝시스터,Quebrada | Poisonrana | Balls-plex,퀘브라다 | 포이즌라나 | 볼스-플렉스
Charlotte Flair,샬럿 플레어,female,mid,face,all_rounder,heel_style|submissions,,1986-04-05,,피겨 에잇 | 내추럴 셀렉션 | 러닝 빅 붓,Spear | Moonsault | Knife-edge chop | Queen's Boot,스피어 | 문설트 | 나이프-엣지 찹 | 퀸즈 붓
Chelsea Green,첼시 그린,female,mid,face,showgirl,heel_style,,1991-04-04,,언프리티-허,Bicycle Kick | Legsweep DDT | Missile Drop Kick,바이시클 킥 | 레그스윕 DDT | 미사일 드롭킥
Fallon Henley,팰런 헨리,female,mid,heel,technician,,,1994-09-25,,샤이닝 위자드 | 페임 애써,Pump Handle Suplex | Hoe Down | Rear Naked Choke,펌프 핸들 수플렉스 | 호 다운 | 리어 네이키드 초크
Giulia,줄리아,female,mid,face,all_rounder,technician,,1994-02-21,,노던 라이츠 밤,Kumonosu | Glorious Driver | Vermilion | Arivederci,쿠모노스 | 글로리어스 드라이버 | 버밀리온 | 아리베데르치
Jacy Jayne,제이시 제인,female,mid,heel,all_rounder,,,1996-06-02,,롤링 앙코르,Cannonball | Discus Big Boot | Discus Punch,캐논볼 | 디스커스 빅 붓 | 디스커스 펀치
Jade Cargill,제이드 카길,female,mid,heel,powerhouse,giant,,1992-06-03,생년월일 없음 — 중앙값 32세로 대체 중,제이디드,Bicycle Kick | Sitout Powerbomb | Sandstorm,바이시클 킥 | 싯아웃 파워밤 | 샌드스톰
Jordynne Grace,조르딘 그레이스,female,low,face,powerhouse,,,1996-03-05,생년월일 없음 — 중앙값 32세로 대체 중,비스트 모드,Corner Combo | Hip Attack | Michinoku Driver II,코너 콤보 | 힙 어택 | 미치노쿠 드라이버 II
Kiana James,키아나 제임스,female,low,heel,showman,heel_style,,1997-05-23,,401K | 딜 브레이커,Belly to Back Suplex | Spinebuster | Back Breaker,벨리 투 백 수플렉스 | 스파인버스터 | 백 브레이커
Lainey Reid,레이니 리드,female,mid,heel,heel_style,technician,,1998-10-02,,러닝 니 스트라이크,Neck Breaker | Drop Kick | Single-leg Boston Crap,넥 브레이커 | 드롭킥 | 싱글-레그 보스턴 크랩
Lash Legend,래쉬 레전드,female,mid,heel,powerhouse,giant,,1997-05-06,,래쉬 익스텐션,Bicycle Kick,바이시클 킥
Michin,미친,female,mid,heel,all_rounder,,,1989-04-16,,서울 푸드,Enzuigiri | Code Blue | SkyYim,엔즈이기리 | 코드 블루 | 스카이임
Nia Jax,나이아 잭스,female,mid,heel,giant,monster|powerhouse,,1984-05-29,,어나힐레이터,Samoan Drop | Leg Drop | Running Hip Attack | Stinkface,사모안 드롭 | 레그 드롭 | 러닝 힙 어택 | 스팅크페이스
Naomi,나오미,female,mid,heel,all_rounder,shooter,,1987-11-30,,리어 뷰,Split-Legged Moonsault | Nightfalls | Springboard Crossbody,스플릿-레그드 문설트 | 나이트폴스 | 스프링보드 크로스바디
Piper Niven,파이퍼 니븐,female,mid,heel,powerhouse,giant,,1991-05-06,,미치노쿠 드라이버 | 블랙홀 슬램,Loch Ness Slam | Snake Bite | Viper Bomb,로치 네스 슬램 | 스네이크 바이트 | 바이퍼 밤
Rhea Ripley,리아 리플리,female,upper,face,technician,powerhouse,,1996-10-11,,립타이드 | 프리즘 트랩,Eletric Chair Facebuster | Big Boot | Headbutt | Missile Drop Kick | Delayed Vertical Suplex,일렉트릭 체어 페이스버스터 | 빅 붓 | 헤드벗 | 미사일 드롭킥 | 딜레이드 버티컷 수플렉스
Tatum Paxley,테이텀 팩슬리,female,mid,face,high_flyer,technician,,1996-10-29,,사이코 트랩 | 450 스플래시,Standing Spanish Fly | Jumping Elbow Drop | Runnning Frankensteiner Facebuster,스탠딩 스패니시 플라이 | 점핑 엘보우 드롭 | 러닝 프랑켄슈타이너 페이스 버스터
Tiffany Stratton,티파니 스트랫턴,female,mid,face,all_rounder,high_flyer,,1999-05-01,,프리티스트 문설트 에버 (PME),Swanton Bomb | Spinebuster | Dumbling Elbow | Double Foot Stomp | Alabama Slam,스완턴 밤 | 스파인버스터 | 덤블링 엘보우 | 더블 풋 스톰프 | 앨러배마 슬램
Brock Lesnar,브록 레스너,male,upper,heel,powerhouse,brawler,,1977-07-12,,F-5 | 키무라 락 | 길로틴 초크,Release German Suplex | Takedown | Turnbuckle Thrust | Overhead Belly to Belly Suplex | Fujiwara Armbar,릴리스 저먼 수플렉스 | 테이크 다운 | 턴버클 쓰러스트 | 오버헤드 벨리 투 벨리 수플렉스 | 후지와라 암바
Danhausen,댄 하우젠,male,mid,face,showman,,monster,1990-08-17,,베리 나이스 베리 니-블 | 굿나잇하우젠 | 트리플 D,The Curse | Pump Kick | Diving Tijeras,더 커스 | 펌프 킥 | 다이빙 티헤라스
Omos,오모스,male,mid,heel,giant,monster,,1994-05-16,,JKCB | 라스트 라이드 | 고릴라 프레스,Big Boot | Sidewalk Slam | Clothesline,빅 붓 | 사이드워크 슬램 | 클로스라인
Paige,페이지,female,mid,face,all_rounder,,,1992-08-17,,페이지 터너 | 램페이지 | PTO,Mounted Headbutts | Rope-Hung Knee Strikes | Fisherman Suplex,마운티드 헤드벗 | 로프-헝 니 스트라이크스 | 피셔맨 수플렉스
